iCE40-LP8K-CM81
pin,bank,type,name
C2,3,IO,IOL_2A
B2,3,IO,IOL_2B
B1,3,IO,IOL_3A
C1,3,IO,IOL_3B
D2,3,IO,IOL_7A
C3,3,IO,IOL_7B
D1,3,IO,IOL_10A
E1,3,IO,IOL_10B
E2,3,IO,IOL_13A
D3,3,IO,IOL_13B_GBIN7
E3,3,IO,IOL_14A_GBIN6
E4,3,IO,IOL_14B
F1,3,IO,IOL_22A
F3,3,IO,IOL_22B
G3,3,IO,IOL_24A
G1,3,IO,IOL_24B
G2,3,IO,IOL_26A
H2,3,IO,IOL_26B
H1,2,IO,IOB_54
J1,2,IO,IOB_55
J2,2,IO,IOB_56
J3,2,IO,IOB_57
J4,2,IO,IOB_70
G4,2,IO,IOB_81_GBIN5
H4,2,IO,IOB_82_GBIN4
J6,,POWER,GNDPLL0
J7,,POWER,VCCPLL0
G5,2,IO,IOB_103_CBSEL0
H5,2,IO,IOB_104_CBSEL1
G6,SPI,IO,IOB_105_SDO
H7,SPI,IO,IOB_106_SDI
G7,SPI,IO,IOB_107_SCK
F7,SPI,IO,IOB_108_SS
J8,1,IO,IOR_109
J9,1,IO,IOR_110
H9,1,IO,IOR_111
G9,1,IO,IOR_112
F8,1,IO,IOR_113
G8,1,IO,IOR_114
D6,1,IO,IOR_115
A9,1,IO,IOR_116
D7,1,IO,IOR_117
E7,1,IO,IOR_118
D9,1,IO,IOR_119
B9,1,IO,IOR_120
E8,1,IO,IOR_140_GBIN3
D8,1,IO,IOR_141_GBIN2
C9,1,IO,IOR_148
B8,0,IO,IOT_170
A8,0,IO,IOT_174
A7,0,IO,IOT_177
B7,0,IO,IOT_180
B6,0,IO,IOT_183
A6,0,IO,IOT_185
B5,0,IO,IOT_188
C5,0,IO,IOT_197_GBIN1
C4,0,IO,IOT_198_GBIN0
A4,0,IO,IOT_208
B4,0,IO,IOT_211
D5,0,IO,IOT_212
E5,0,IO,IOT_214
A3,0,IO,IOT_217
B3,0,IO,IOT_218
A2,0,IO,IOT_221
F4,,POWER,GND
F5,,POWER,GND
F6,,POWER,GND
A1,0,IO,IOT_224
F9,,POWER,GND
F2,,POWER,VCC
D4,,POWER,VCC
E9,,POWER,VCC
A5,0,POWER,VCCIO_0
C6,1,POWER,VCCIO_1
J5,2,POWER,VCCIO_2
H3,3,POWER,VCCIO_3
C7,,POWER,VPP_FAST
C8,,POWER,VPP_2V5
H6,2,INPUT,CRESET_B
E6,2,OUTPUT,CDONE
H8,SPI,POWER,VCC_SPI
