Device/Package xc7k480tffg901 12/21/2011 11:18:28,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
U12,DXN_0,NA,0,NA,NA,CONFIG,NA
P13,VCCADC_0,NA,0,NA,NA,CONFIG,NA
P12,GNDADC_0,NA,0,NA,NA,CONFIG,NA
U13,DXP_0,NA,0,NA,NA,CONFIG,NA
R12,VREFN_0,NA,0,NA,NA,CONFIG,NA
T13,VREFP_0,NA,0,NA,NA,CONFIG,NA
R13,VP_0,NA,0,NA,NA,CONFIG,NA
T12,VN_0,NA,0,NA,NA,CONFIG,NA
G13,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
H13,CCLK_0,NA,0,NA,NA,CONFIG,NA
H12,TCK_0,NA,0,NA,NA,CONFIG,NA
J11,TMS_0,NA,0,NA,NA,CONFIG,NA
J13,TDO_0,NA,0,NA,NA,CONFIG,NA
H11,TDI_0,NA,0,NA,NA,CONFIG,NA
H10,INIT_B_0,NA,0,NA,NA,CONFIG,NA
AB11,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
AC11,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
AC10,DONE_0,NA,0,NA,NA,CONFIG,NA
AB12,M2_0,NA,0,NA,NA,CONFIG,NA
AC13,M0_0,NA,0,NA,NA,CONFIG,NA
AC12,M1_0,NA,0,NA,NA,CONFIG,NA
AC19,IO_0_11,NA,11,NA,NA,HR,7K355T
AG19,IO_L1P_T0_11,0,11,NA,NA,HR,7K355T
AH20,IO_L1N_T0_11,0,11,NA,NA,HR,7K355T
AH19,IO_L2P_T0_11,0,11,NA,NA,HR,7K355T
AJ19,IO_L2N_T0_11,0,11,NA,NA,HR,7K355T
AK19,IO_L3P_T0_DQS_11,0,11,NA,NA,HR,7K355T
AK20,IO_L3N_T0_DQS_11,0,11,NA,NA,HR,7K355T
AJ18,IO_L4P_T0_11,0,11,NA,NA,HR,7K355T
AK18,IO_L4N_T0_11,0,11,NA,NA,HR,7K355T
AJ16,IO_L5P_T0_11,0,11,NA,NA,HR,7K355T
AJ17,IO_L5N_T0_11,0,11,NA,NA,HR,7K355T
AF18,IO_L6P_T0_11,0,11,NA,NA,HR,7K355T
AG18,IO_L6N_T0_VREF_11,0,11,NA,NA,HR,7K355T
AK15,IO_L7P_T1_11,1,11,NA,NA,HR,7K355T
AK16,IO_L7N_T1_11,1,11,NA,NA,HR,7K355T
