N,PIN,NAME,TYPE,BANK
1,P1,PROG_B,CONFIG,VCCAUX
2,P2,IO_L01P_3,I/O,3
3,P3,IO_L01N_3,I/O,3
4,P4,IO_L02P_3,I/O,3
5,P5,IO_L02N_3/VREF_3,VREF,3
6,P6,VCCINT,VCCINT,VCCINT
7,P7,GND,GND,GND
8,P8,VCCO_3,VCCO,3
9,P9,IO_L03P_3/LHCLK0,GCLK,3
10,P10,IO_L03N_3/LHCLK1,GCLK,3
11,P11,IO_L04P_3/LHCLK2,GCLK,3
12,P12,IO_L04N_3/LHCLK3/IRDY2,GCLK,3
13,P13,IP,INPUT,3
14,P14,GND,GND,GND
15,P15,IO_L05P_3/LHCLK4/TRDY2,GCLK,3
16,P16,IO_L05N_3/LHCLK5,GCLK,3
17,P17,IO_L06P_3/LHCLK6,GCLK,3
18,P18,IO_L06N_3/LHCLK7,GCLK,3
19,P19,GND,GND,GND
20,P20,VCCO_3,VCCO,3
21,P21,VCCAUX,VCCAUX,VCCAUX
22,P22,IO_L07P_3,I/O,3
23,P23,IO_L07N_3,I/O,3
24,P24,IO_L01P_2/CSO_B,DUAL,2
25,P25,IO_L01N_2/INIT_B,DUAL,2
26,P26,IO_L02P_2/DOUT/BUSY,DUAL,2
27,P27,IO_L02N_2/MOSI/CSI_B,DUAL,2
28,P28,VCCINT,VCCINT,VCCINT
29,P29,GND,GND,GND
30,P30,IP/VREF_2,VREF,2
31,P31,VCCO_2,VCCO,2
32,P32,IO_L03P_2/D7/GCLK12,DUAL/GCLK,2
33,P33,IO_L03N_2/D6/GCLK13,DUAL/GCLK,2
34,P34,IO/D5,DUAL,2
35,P35,IO_L04P_2/D4/GCLK14,DUAL/GCLK,2
36,P36,IO_L04N_2/D3/GCLK15,DUAL/GCLK,2
37,P37,GND,GND,GND
38,P38,IP_L05P_2/RDWR_B/GCLK0,DUAL/GCLK,2
39,P39,IP_L05N_2/M2/GCLK1,DUAL/GCLK,2
40,P40,IO_L06P_2/D2/GCLK2,DUAL/GCLK,2
41,P41,IO_L06N_2/D1/GCLK3,DUAL/GCLK,2
42,P42,IO/M1,DUAL,2
43,P43,IO_L07P_2/M0,DUAL,2
44,P44,IO_L07N_2/DIN/D0,DUAL,2
45,P45,VCCO_2,VCCO,2
46,P46,VCCAUX,VCCAUX,VCCAUX
47,P47,IO_L08P_2/VS2,DUAL,2
48,P48,IO_L08N_2/VS1,DUAL,2
49,P49,IO_L09P_2/VS0,DUAL,2
50,P50,IO_L09N_2/CCLK,DUAL,2
51,P51,DONE,CONFIG,VCCAUX
52,P52,GND,GND,GND
53,P53,IO_L01P_1,I/O,1
54,P54,IO_L01N_1,I/O,1
55,P55,VCCO_1,VCCO,1
56,P56,VCCINT,VCCINT,VCCINT
57,P57,IO_L02P_1,I/O,1
58,P58,IO_L02N_1,I/O,1
59,P59,GND,GND,GND
60,P60,IO_L03P_1/RHCLK0,DUAL,1
61,P61,IO_L03N_1/RHCLK1,DUAL,1
62,P62,IO_L04P_1/RHCLK2,DUAL,1
63,P63,IO_L04N_1/RHCLK3/TRDY1,DUAL,1
64,P64,GND,GND,GND
65,P65,IO_L05P_1/RHCLK4/IRDY1,DUAL,1
66,P66,IO_L05N_1/RHCLK5,DUAL,1
67,P67,IO_L06P_1/RHCLK6,DUAL,1
68,P68,IO_L06N_1/RHCLK7,DUAL,1
69,P69,IP/VREF_1,VREF,1
70,P70,IO_L07P_1,I/O,1
71,P71,IO_L07N_1,I/O,1
72,P72,GND,GND,GND
73,P73,VCCO_1,VCCO,1
74,P74,VCCAUX,VCCAUX,VCCAUX
75,P75,TMS,JTAG,VCCAUX
76,P76,TDO,JTAG,VCCAUX
77,P77,TCK,JTAG,VCCAUX
78,P78,IO_L01P_0,I/O,0
79,P79,IO_L01N_0,I/O,0
80,P80,VCCINT,VCCINT,VCCINT
81,P81,GND,GND,GND
82,P82,VCCO_0,VCCO,0
83,P83,IO_L02P_0/GCLK4,GCLK,0
84,P84,IO_L02N_0/GCLK5,GCLK,0
85,P85,IO_L03P_0/GCLK6,GCLK,0
86,P86,IO_L03N_0/GCLK7,GCLK,0
87,P87,GND,GND,GND
88,P88,IP_L04P_0/GCLK8,GCLK,0
89,P89,IP_L04N_0/GCLK9,GCLK,0
90,P90,IO_L05P_0/GCLK10,GCLK,0
91,P91,IO_L05N_0/GCLK11,GCLK,0
92,P92,IO,I/O,0
93,P93,GND,GND,GND
94,P94,IO_L06P_0,I/O,0
95,P95,IO_L06N_0/VREF_0,VREF,0
96,P96,VCCAUX,VCCAUX,VCCAUX
97,P97,VCCO_0,VCCO,0
98,P98,IO_L07P_0,I/O,0
99,P99,IO_L07N_0/HSWAP,DUAL,0
100,P100,TDI,JTAG,VCCAUX
