SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S100E_PIN,XC3S100E_TYPE,XC3S250E_PIN,XC3S250E_TYPE,XC3S500E_PIN,XC3S500_TYPE,BANK,DIFFERENCE
A,1,A1,PROG_B,CONFIG,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
A,2,A2,TDI,JTAG,TDI,JTAG,TDI,JTAG,VCCAUX,.
A,3,A3,IO_L11P_0,I/O,IO_L11P_0,I/O,IO_L11P_0,I/O,0,.
A,4,A4,N.C. (GND),N.C. (GND),GND,GND,GND,GND,GND,DIFF
A,5,A5,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
A,6,A6,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
A,7,A7,IO_L07P_0/GCLK10,GCLK,IO_L07P_0/GCLK10,GCLK,IO_L07P_0/GCLK10,GCLK,0,.
A,8,A8,GND,GND,GND,GND,GND,GND,GND,.
A,9,A9,IO_L05N_0/GCLK7,GCLK,IO_L05N_0/GCLK7,GCLK,IO_L05N_0/GCLK7,GCLK,0,.
A,10,A10,IO_L04P_0/GCLK4,GCLK,IO_L04P_0/GCLK4,GCLK,IO_L04P_0/GCLK4,GCLK,0,.
A,11,A11,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
A,12,A12,N.C.,N.C.,IO_L02N_0,I/O,IO_L02N_0,I/O,0,DIFF
A,13,A13,IO_L01P_0,I/O,IO_L01P_0,I/O,IO_L01P_0,I/O,0,.
A,14,A14,TDO,JTAG,TDO,JTAG,TDO,JTAG,VCCAUX,.
B,1,B1,IO_L01N_3,I/O,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
B,2,B2,IO_L01P_3,I/O,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
B,3,B3,IO_L11N_0/HSWAP,DUAL,IO_L11N_0/HSWAP,DUAL,IO_L11N_0/HSWAP,DUAL,0,.
B,4,B4,IP,I/O,IO_L10P_0,I/O,IO_L10P_0,I/O,0,DIFF
B,5,B5,IO_L09P_0,I/O,IO_L09P_0,I/O,IO_L09P_0,I/O,0,.
B,6,B6,IO_L08P_0,I/O,IO_L08P_0,I/O,IO_L08P_0,I/O,0,.
B,7,B7,IO_L07N_0/GCLK11,GCLK,IO_L07N_0/GCLK11,GCLK,IO_L07N_0/GCLK11,GCLK,0,.
B,8,B8,IP_L06P_0/GCLK8,GCLK,IP_L06P_0/GCLK8,GCLK,IP_L06P_0/GCLK8,GCLK,0,.
B,9,B9,IO_L05P_0/GCLK6,GCLK,IO_L05P_0/GCLK6,GCLK,IO_L05P_0/GCLK6,GCLK,0,.
B,10,B10,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
B,11,B11,N.C.,N.C.,IO_L03N_0/VREF_0,VREF,IO_L03N_0/VREF_0,VREF,0,DIFF
B,12,B12,N.C.,N.C.,IO_L02P_0,I/O,IO_L02P_0,I/O,0,DIFF
B,13,B13,TCK,JTAG,TCK,JTAG,TCK,JTAG,VCCAUX,.
B,14,B14,TMS,JTAG,TMS,JTAG,TMS,JTAG,VCCAUX,.
C,1,C1,N.C. (GND),N.C. (GND),GND,GND,GND,GND,GND,DIFF
C,2,C2,IO_L02N_3,I/O,IO_L02N_3,I/O,IO_L02N_3,I/O,3,.
C,3,C3,IO_L02P_3,I/O,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
C,4,C4,N.C.,N.C.,IO_L10N_0,I/O,IO_L10N_0,I/O,0,DIFF
C,5,C5,IO_L09N_0,I/O,IO_L09N_0,I/O,IO_L09N_0,I/O,0,.
C,6,C6,IO_L08N_0/VREF_0,VREF,IO_L08N_0/VREF_0,VREF,IO_L08N_0/VREF_0,VREF,0,.
C,7,C7,GND,GND,GND,GND,GND,GND,GND,.
C,8,C8,IP_L06N_0/GCLK9,GCLK,IP_L06N_0/GCLK9,GCLK,IP_L06N_0/GCLK9,GCLK,0,.
C,9,C9,IO_L04N_0/GCLK5,GCLK,IO_L04N_0/GCLK5,GCLK,IO_L04N_0/GCLK5,GCLK,0,.
C,10,C10,GND,GND,GND,GND,GND,GND,GND,.
C,11,C11,IP,I/O,IO_L03P_0,I/O,IO_L03P_0,I/O,0,DIFF
C,12,C12,IO_L01N_0,I/O,IO_L01N_0,I/O,IO_L01N_0,I/O,0,.
C,13,C13,IO_L10N_1/LDC2,DUAL,IO_L10N_1/LDC2,DUAL,IO_L10N_1/LDC2,DUAL,1,.
C,14,C14,IO_L10P_1/LDC1,DUAL,IO_L10P_1/LDC1,DUAL,IO_L10P_1/LDC1,DUAL,1,.
D,1,D1,N.C.,N.C.,IO_L03N_3,I/O,IO_L03N_3,I/O,3,DIFF
D,2,D2,IO,I/O,IO_L03P_3,I/O,IO_L03P_3,I/O,3,DIFF
D,3,D3,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
