SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S500E_PIN,XC3S500E_TYPE,XC3S1200E_PIN,XC3S1200E_TYPE,XC3S1600E_PIN,XC3S1600E_TYPE,BANK,DIFFERENCE
A,1,A1,GND,GND,GND,GND,GND,GND,GND,.
A,2,A2,TDI,JTAG,TDI,JTAG,TDI,JTAG,VCCAUX,.
A,3,A3,IP,INPUT,IP,INPUT,IP,INPUT,0,.
A,4,A4,IO_L24P_0,I/O,IO_L24P_0,I/O,IO_L24P_0,I/O,0,.
A,5,A5,IP_L22P_0,INPUT,IP_L22P_0,INPUT,IP_L22P_0,INPUT,0,.
A,6,A6,IO_L20N_0,I/O,IO_L20N_0,I/O,IO_L20N_0,I/O,0,.
A,7,A7,IP,INPUT,IO,I/O,IO,I/O,0,DIFF
A,8,A8,IO,I/O,IO,I/O,IO,I/O,0,.
A,9,A9,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
A,10,A10,IO_L12N_0/GCLK7,GCLK,IO_L12N_0/GCLK7,GCLK,IO_L12N_0/GCLK7,GCLK,0,.
A,11,A11,IO,I/O,IO,I/O,IO,I/O,0,.
A,12,A12,N.C.,N.C.,IO,I/O,IO,I/O,0,DIFF
A,13,A13,IO_L05P_0,I/O,IO_L05P_0,I/O,IO_L05P_0,I/O,0,.
A,14,A14,IO_L04N_0,I/O,IO_L04N_0,I/O,IO_L04N_0,I/O,0,.
A,15,A15,IP_L02N_0,INPUT,IP_L02N_0,INPUT,IP_L02N_0,INPUT,0,.
A,16,A16,IO_L01N_0,I/O,IO_L01N_0,I/O,IO_L01N_0,I/O,0,.
A,17,A17,TCK,JTAG,TCK,JTAG,TCK,JTAG,VCCAUX,.
A,18,A18,GND,GND,GND,GND,GND,GND,GND,.
B,1,B1,PROG_B,CONFIG,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
B,2,B2,GND,GND,GND,GND,GND,GND,GND,.
B,3,B3,IO_L25N_0/HSWAP,DUAL,IO_L25N_0/HSWAP,DUAL,IO_L25N_0/HSWAP,DUAL,0,.
B,4,B4,IO_L24N_0,I/O,IO_L24N_0,I/O,IO_L24N_0,I/O,0,.
B,5,B5,IP_L22N_0,INPUT,IP_L22N_0,INPUT,IP_L22N_0,INPUT,0,.
B,6,B6,IO_L20P_0,I/O,IO_L20P_0,I/O,IO_L20P_0,I/O,0,.
B,7,B7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
B,8,B8,IP_L13P_0/GCLK8,GCLK,IP_L13P_0/GCLK8,GCLK,IP_L13P_0/GCLK8,GCLK,0,.
B,9,B9,IP_L13N_0/GCLK9,GCLK,IP_L13N_0/GCLK9,GCLK,IP_L13N_0/GCLK9,GCLK,0,.
B,10,B10,IO_L12P_0/GCLK6,GCLK,IO_L12P_0/GCLK6,GCLK,IO_L12P_0/GCLK6,GCLK,0,.
B,11,B11,IO/VREF_0,VREF,IO/VREF_0,VREF,IO/VREF_0,VREF,0,.
B,12,B12,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
B,13,B13,IO_L05N_0/VREF_0,VREF,IO_L05N_0/VREF_0,VREF,IO_L05N_0/VREF_0,VREF,0,.
B,14,B14,IO_L04P_0,I/O,IO_L04P_0,I/O,IO_L04P_0,I/O,0,.
B,15,B15,IP_L02P_0,INPUT,IP_L02P_0,INPUT,IP_L02P_0,INPUT,0,.
B,16,B16,IO_L01P_0,I/O,IO_L01P_0,I/O,IO_L01P_0,I/O,0,.
B,17,B17,GND,GND,GND,GND,GND,GND,GND,.
B,18,B18,IP,INPUT,IP,INPUT,IP,INPUT,1,.
C,1,C1,IO_L01P_3,I/O,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
C,2,C2,IO_L01N_3,I/O,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
C,3,C3,IO_L25P_0,I/O,IO_L25P_0,I/O,IO_L25P_0,I/O,0,.
C,4,C4,IO,I/O,IO,I/O,IO,I/O,0,.
C,5,C5,IO_L23P_0,I/O,IO_L23P_0,I/O,IO_L23P_0,I/O,0,.
C,6,C6,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
C,7,C7,IO_L18P_0,I/O,IO_L18P_0,I/O,IO_L18P_0,I/O,0,.
C,8,C8,IP_L16P_0,INPUT,IP_L16P_0,INPUT,IP_L16P_0,INPUT,0,.
C,9,C9,IO_L14P_0/GCLK10,GCLK,IO_L14P_0/GCLK10,GCLK,IO_L14P_0/GCLK10,GCLK,0,.
C,10,C10,GND,GND,GND,GND,GND,GND,GND,.
C,11,C11,IO_L09P_0,I/O,IO_L09P_0,I/O,IO_L09P_0,I/O,0,.
C,12,C12,IP_L07P_0,INPUT,IP_L07P_0,INPUT,IP_L07P_0,INPUT,0,.
