SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S1200E_PIN,XC3S1200E_TYPE,XC3S1600E_PIN,XC3S1600E_TYPE,BANK,DIFFERENCE
A,1,A1,GND,GND,GND,GND,GND,.
A,2,A2,IO_L31N_0,I/O,IO_L31N_0,I/O,0,.
A,3,A3,IO,I/O,IO,I/O,0,.
A,4,A4,IP_L29N_0,INPUT,IP_L29N_0,INPUT,0,.
A,5,A5,IP_L29P_0,INPUT,IP_L29P_0,INPUT,0,.
A,6,A6,IO_L25N_0,I/O,IO_L25N_0,I/O,0,.
A,7,A7,IO_L25P_0,I/O,IO_L25P_0,I/O,0,.
A,8,A8,IO,I/O,IO,I/O,0,.
A,9,A9,IO_L18N_0/GCLK11,GCLK,IO_L18N_0/GCLK11,GCLK,0,.
A,10,A10,IO_L18P_0/GCLK10,GCLK,IO_L18P_0/GCLK10,GCLK,0,.
A,11,A11,GND,GND,GND,GND,GND,.
A,12,A12,IO,I/O,IO,I/O,0,.
A,13,A13,IO_L09N_0/VREF_0,VREF,IO_L09N_0/VREF_0,VREF,0,.
A,14,A14,IO_L09P_0,I/O,IO_L09P_0,I/O,0,.
A,15,A15,IO_L06N_0,I/O,IO_L06N_0,I/O,0,.
A,16,A16,IO_L04P_0,I/O,IO_L04P_0,I/O,0,.
A,17,A17,IO_L04N_0,I/O,IO_L04N_0,I/O,0,.
A,18,A18,IO_L03N_0/VREF_0,VREF,IO_L03N_0/VREF_0,VREF,0,.
A,19,A19,IO_L03P_0,I/O,IO_L03P_0,I/O,0,.
A,20,A20,GND,GND,GND,GND,GND,.
B,1,B1,IO_L03P_3,I/O,IO_L03P_3,I/O,3,.
B,2,B2,IO_L31P_0,I/O,IO_L31P_0,I/O,0,.
B,3,B3,TDI,JTAG,TDI,JTAG,VCCAUX,.
B,4,B4,VCCO_0,VCCO,VCCO_0,VCCO,0,.
B,5,B5,IO_L27N_0,I/O,IO_L27N_0,I/O,0,.
B,6,B6,IO_L27P_0,I/O,IO_L27P_0,I/O,0,.
B,7,B7,GND,GND,GND,GND,GND,.
B,8,B8,IO_L22N_0/VREF_0,VREF,IO_L22N_0/VREF_0,VREF,0,.
B,9,B9,IO_L22P_0,I/O,IO_L22P_0,I/O,0,.
B,10,B10,VCCO_0,VCCO,VCCO_0,VCCO,0,.
B,11,B11,IP_L14N_0,INPUT,IP_L14N_0,INPUT,0,.
B,12,B12,IP_L14P_0,INPUT,IP_L14P_0,INPUT,0,.
B,13,B13,IO_L10N_0,I/O,IO_L10N_0,I/O,0,.
B,14,B14,GND,GND,GND,GND,GND,.
B,15,B15,IO_L06P_0,I/O,IO_L06P_0,I/O,0,.
B,16,B16,VCCO_0,VCCO,VCCO_0,VCCO,0,.
B,17,B17,IO_L01N_0,I/O,IO_L01N_0,I/O,0,.
B,18,B18,IP,INPUT,IP,INPUT,0,.
B,19,B19,TDO,JTAG,TDO,JTAG,VCCAUX,.
B,20,B20,IP,INPUT,IP,INPUT,1,.
C,1,C1,IO_L03N_3,I/O,IO_L03N_3,I/O,3,.
C,2,C2,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
C,3,C3,GND,GND,GND,GND,GND,.
C,4,C4,IO_L32P_0,I/O,IO_L32P_0,I/O,0,.
C,5,C5,IO_L30N_0/VREF_0,VREF,IO_L30N_0/VREF_0,VREF,0,.
C,6,C6,IO_L28P_0,I/O,IO_L28P_0,I/O,0,.
C,7,C7,IO,I/O,IO,I/O,0,.
C,8,C8,IP_L23N_0,INPUT,IP_L23N_0,INPUT,0,.
C,9,C9,IO_L21N_0,I/O,IO_L21N_0,I/O,0,.
C,10,C10,IO,I/O,IO,I/O,0,.
C,11,C11,IO/VREF_0,VREF,IO/VREF_0,VREF,0,.
C,12,C12,IO_L12N_0,I/O,IO_L12N_0,I/O,0,.
C,13,C13,IO_L10P_0,I/O,IO_L10P_0,I/O,0,.
C,14,C14,IO_L07N_0,I/O,IO_L07N_0,I/O,0,.
C,15,C15,IP_L05P_0,INPUT,IP_L05P_0,INPUT,0,.
C,16,C16,IP_L02N_0,INPUT,IP_L02N_0,INPUT,0,.
C,17,C17,IO_L01P_0,I/O,IO_L01P_0,I/O,0,.
C,18,C18,GND,GND,GND,GND,GND,.
C,19,C19,IO_L30N_1/LDC2,DUAL,IO_L30N_1/LDC2,DUAL,1,.
C,20,C20,IO_L30P_1/LDC1,DUAL,IO_L30P_1/LDC1,DUAL,1,.
D,1,D1,IO_L04P_3,I/O,IO_L04P_3,I/O,3,.
D,2,D2,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
D,3,D3,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
D,4,D4,IO_L32N_0/HSWAP,DUAL,IO_L32N_0/HSWAP,DUAL,0,.
D,5,D5,IO_L30P_0,I/O,IO_L30P_0,I/O,0,.
D,6,D6,IO_L28N_0,I/O,IO_L28N_0,I/O,0,.
D,7,D7,VCCO_0,VCCO,VCCO_0,VCCO,0,.
D,8,D8,IP_L23P_0,INPUT,IP_L23P_0,INPUT,0,.
D,9,D9,IO_L21P_0,I/O,IO_L21P_0,I/O,0,.
D,10,D10,GND,GND,GND,GND,GND,.
D,11,D11,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
D,12,D12,IO_L12P_0,I/O,IO_L12P_0,I/O,0,.
D,13,D13,VCCO_0,VCCO,VCCO_0,VCCO,0,.
D,14,D14,IO_L07P_0,I/O,IO_L07P_0,I/O,0,.
D,15,D15,IP_L05N_0,INPUT,IP_L05N_0,INPUT,0,.
D,16,D16,IP_L02P_0,INPUT,IP_L02P_0,INPUT,0,.
D,17,D17,TCK,JTAG,TCK,JTAG,VCCAUX,.
D,18,D18,IO_L29N_1/LDC0,DUAL,IO_L29N_1/LDC0,DUAL,1,.
D,19,D19,VCCO_1,VCCO,VCCO_1,VCCO,1,.
D,20,D20,IO_L28N_1,I/O,IO_L28N_1,I/O,1,.
E,1,E1,IO_L04N_3,I/O,IO_L04N_3,I/O,3,.
E,2,E2,VCCO_3,VCCO,VCCO_3,VCCO,3,.
E,3,E3,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,3,.
E,4,E4,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
E,5,E5,IP,INPUT,IP,INPUT,0,.
E,6,E6,IP_L26N_0,INPUT,IP_L26N_0,INPUT,0,.
E,7,E7,IP_L26P_0,INPUT,IP_L26P_0,INPUT,0,.
E,8,E8,IO,I/O,IO,I/O,0,.
E,9,E9,IO_L19P_0,I/O,IO_L19P_0,I/O,0,.
