SORT_ROW,SORT_ROW_#,SORT_COLUMN,PIN_NUMBER,XC3S1600E_PIN,XC3S1600E_TYPE,BANK
A,1,1,A1,GND,GND,GND
A,1,2,A2,IP_L37P_0,INPUT,0
A,1,3,A3,IP_L37N_0,INPUT,0
A,1,4,A4,IO_L35N_0,I/O,0
A,1,5,A5,IO_L35P_0,I/O,0
A,1,6,A6,IO_L33N_0,I/O,0
A,1,7,A7,IO_L33P_0,I/O,0
A,1,8,A8,IO_L30P_0,I/O,0
A,1,9,A9,IO_L24N_0,I/O,0
A,1,10,A10,IO_L24P_0,I/O,0
A,1,11,A11,GND,GND,GND
A,1,12,A12,IP_L17N_0,INPUT,0
A,1,13,A13,IP_L17P_0,INPUT,0
A,1,14,A14,IO_L12N_0/VREF_0,VREF,0
A,1,15,A15,IO_L12P_0,I/O,0
A,1,16,A16,IO_L07N_0,I/O,0
A,1,17,A17,IO_L07P_0,I/O,0
A,1,18,A18,IO_L04P_0,I/O,0
A,1,19,A19,IO_L04N_0,I/O,0
A,1,20,A20,IO_L03N_0/VREF_0,VREF,0
A,1,21,A21,IO_L03P_0,I/O,0
A,1,22,A22,GND,GND,GND
B,2,1,B1,PROG_B,CONFIG,VCCAUX
B,2,2,B2,TDI,JTAG,VCCAUX
B,2,3,B3,IO_L39P_0,I/O,0
B,2,4,B4,IO_L39N_0,I/O,0
B,2,5,B5,VCCO_0,VCCO,0
B,2,6,B6,IO,I/O,0
B,2,7,B7,GND,GND,GND
B,2,8,B8,IO_L30N_0,I/O,0
B,2,9,B9,IO_L28P_0,I/O,0
B,2,10,B10,VCCO_0,VCCO,0
B,2,11,B11,IO_L21N_0/GCLK11,GCLK,0
B,2,12,B12,IO_L19P_0/GCLK6,GCLK,0
B,2,13,B13,IO,I/O,0
B,2,14,B14,VCCO_0,VCCO,0
B,2,15,B15,IO_L09N_0/VREF_0,VREF,0
B,2,16,B16,GND,GND,GND
B,2,17,B17,IP_L05P_0,INPUT,0
B,2,18,B18,VCCO_0,VCCO,0
B,2,19,B19,IP,INPUT,0
B,2,20,B20,TDO,JTAG,VCCAUX
B,2,21,B21,IO_L38N_1/LDC2,DUAL,1
B,2,22,B22,IO_L38P_1/LDC1,DUAL,1
C,3,1,C1,IO_L01N_3,I/O,3
C,3,2,C2,IO_L01P_3,I/O,3
C,3,3,C3,GND,GND,GND
C,3,4,C4,IO_L40P_0,I/O,0
C,3,5,C5,IO,I/O,0
C,3,6,C6,IP_L34P_0,INPUT,0
C,3,7,C7,IP_L34N_0,INPUT,0
C,3,8,C8,IP_L31N_0,INPUT,0
C,3,9,C9,IO_L28N_0,I/O,0
C,3,10,C10,IO_L25P_0,I/O,0
C,3,11,C11,IO_L21P_0/GCLK10,GCLK,0
C,3,12,C12,IO_L19N_0/GCLK7,GCLK,0
C,3,13,C13,IP_L14P_0,INPUT,0
C,3,14,C14,IO,I/O,0
C,3,15,C15,IO_L09P_0,I/O,0
C,3,16,C16,IO_L06N_0,I/O,0
C,3,17,C17,IP_L05N_0,INPUT,0
C,3,18,C18,IO_L01N_0,I/O,0
C,3,19,C19,IO_L01P_0,I/O,0
C,3,20,C20,GND,GND,GND
C,3,21,C21,IO_L37N_1/LDC0,DUAL,1
C,3,22,C22,IO_L37P_1/HDC,DUAL,1
D,4,1,D1,IO_L04P_3,I/O,3
D,4,2,D2,IO_L02N_3/VREF_3,VREF,3
D,4,3,D3,IO_L02P_3,I/O,3
D,4,4,D4,IO_L40N_0/HSWAP,DUAL,0
D,4,5,D5,IO_L38P_0,I/O,0
D,4,6,D6,IO_L38N_0/VREF_0,VREF,0
D,4,7,D7,IO_L36P_0,I/O,0
D,4,8,D8,IP_L31P_0,INPUT,0
D,4,9,D9,IO_L29P_0,I/O,0
D,4,10,D10,IO_L25N_0/VREF_0,VREF,0
D,4,11,D11,IO_L22N_0,I/O,0
D,4,12,D12,VCCAUX,VCCAUX,VCCAUX
D,4,13,D13,IP_L14N_0,INPUT,0
D,4,14,D14,IO_L11N_0,I/O,0
D,4,15,D15,IP_L08P_0,INPUT,0
D,4,16,D16,IO_L06P_0,I/O,0
D,4,17,D17,IP_L02N_0,INPUT,0
D,4,18,D18,IP_L02P_0,INPUT,0
D,4,19,D19,TMS,JTAG,VCCAUX
D,4,20,D20,IP,INPUT,1
D,4,21,D21,IP/VREF_1,VREF,1
D,4,22,D22,IO_L34N_1,I/O,1
E,5,1,E1,IO_L04N_3,I/O,3
E,5,2,E2,VCCO_3,VCCO,3
E,5,3,E3,IO_L03N_3,I/O,3
E,5,4,E4,IO_L03P_3,I/O,3
E,5,5,E5,VCCAUX,VCCAUX,VCCAUX
E,5,6,E6,IP,INPUT,0
E,5,7,E7,IO_L36N_0,I/O,0
E,5,8,E8,VCCO_0,VCCO,0
E,5,9,E9,IO_L29N_0,I/O,0
E,5,10,E10,GND,GND,GND
E,5,11,E11,IO_L22P_0,I/O,0
E,5,12,E12,IO_L18N_0/GCLK5,GCLK,0
E,5,13,E13,GND,GND,GND
E,5,14,E14,IO_L11P_0,I/O,0
E,5,15,E15,IP_L08N_0,INPUT,0
E,5,16,E16,IO,I/O,0
E,5,17,E17,TCK,JTAG,VCCAUX
E,5,18,E18,VCCAUX,VCCAUX,VCCAUX
E,5,19,E19,IO_L36P_1,I/O,1
E,5,20,E20,IO_L36N_1,I/O,1
E,5,21,E21,VCCO_1,VCCO,1
E,5,22,E22,IO_L34P_1,I/O,1
F,6,1,F1,IO_L07N_3,I/O,3
F,6,2,F2,IP,INPUT,3
F,6,3,F3,IO_L05P_3,I/O,3
F,6,4,F4,IO_L05N_3,I/O,3
F,6,5,F5,IP,INPUT,3
F,6,6,F6,GND,GND,GND
F,6,7,F7,IO_L32N_0/VREF_0,VREF,0
F,6,8,F8,IO_L32P_0,I/O,0
F,6,9,F9,IO,I/O,0
F,6,10,F10,IP_L23N_0,INPUT,0
F,6,11,F11,IP_L23P_0,INPUT,0
F,6,12,F12,IO_L18P_0/GCLK4,GCLK,0
F,6,13,F13,IO_L15P_0,I/O,0
F,6,14,F14,VCCO_0,VCCO,0
F,6,15,F15,IO_L10P_0,I/O,0
F,6,16,F16,IO,I/O,0
F,6,17,F17,GND,GND,GND
F,6,18,F18,IO_L35P_1,I/O,1
F,6,19,F19,IO_L35N_1,I/O,1
F,6,20,F20,IO_L32N_1,I/O,1
F,6,21,F21,IP,INPUT,1
F,6,22,F22,IO_L31N_1,I/O,1
