SORT_PIN,PIN_NUMBER,XC3S250E_PIN,XC3S250E_TYPE,XC3S500E_PIN,XC3S500E_TYPE,BANK,DIFFERENCE
1,P1,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
2,P2,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
3,P3,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
4,P4,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
5,P5,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,3,.
6,P6,IP,INPUT,IP,INPUT,3,.
7,P7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
8,P8,IO_L03P_3,I/O,IO_L03P_3,I/O,3,.
9,P9,IO_L03N_3,I/O,IO_L03N_3,I/O,3,.
10,P10,GND,GND,GND,GND,GND,.
11,P11,IO_L04P_3,I/O,IO_L04P_3,I/O,3,.
12,P12,IO_L04N_3,I/O,IO_L04N_3,I/O,3,.
13,P13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
14,P14,IP,INPUT,IP,INPUT,3,.
15,P15,IO_L05P_3,I/O,IO_L05P_3,I/O,3,.
16,P16,IO_L05N_3,I/O,IO_L05N_3,I/O,3,.
17,P17,GND,GND,GND,GND,GND,.
18,P18,IO_L06P_3,I/O,IO_L06P_3,I/O,3,.
19,P19,IO_L06N_3,I/O,IO_L06N_3,I/O,3,.
20,P20,IP/VREF_3,VREF,IP/VREF_3,VREF,3,.
21,P21,VCCO_3,VCCO,VCCO_3,VCCO,3,.
22,P22,IO_L07P_3/LHCLK0,LHCLK,IO_L07P_3/LHCLK0,LHCLK,3,.
23,P23,IO_L07N_3/LHCLK1,LHCLK,IO_L07N_3/LHCLK1,LHCLK,3,.
24,P24,IO_L08P_3/LHCLK2,LHCLK,IO_L08P_3/LHCLK2,LHCLK,3,.
25,P25,IO_L08N_3/LHCLK3/IRDY2,LHCLK,IO_L08N_3/LHCLK3/IRDY2,LHCLK,3,.
26,P26,IP,INPUT,IP,INPUT,3,.
27,P27,GND,GND,GND,GND,GND,.
28,P28,IO_L09P_3/LHCLK4/TRDY2,LHCLK,IO_L09P_3/LHCLK4/TRDY2,LHCLK,3,.
29,P29,IO_L09N_3/LHCLK5,LHCLK,IO_L09N_3/LHCLK5,LHCLK,3,.
30,P30,IO_L10P_3/LHCLK6,LHCLK,IO_L10P_3/LHCLK6,LHCLK,3,.
31,P31,IO_L10N_3/LHCLK7,LHCLK,IO_L10N_3/LHCLK7,LHCLK,3,.
32,P32,IP,INPUT,IP,INPUT,3,.
33,P33,IO_L11P_3,I/O,IO_L11P_3,I/O,3,.
34,P34,IO_L11N_3,I/O,IO_L11N_3,I/O,3,.
35,P35,IO_L12P_3,I/O,IO_L12P_3,I/O,3,.
36,P36,IO_L12N_3,I/O,IO_L12N_3,I/O,3,.
37,P37,GND,GND,GND,GND,GND,.
38,P38,VCCO_3,VCCO,VCCO_3,VCCO,3,.
39,P39,IO_L13P_3,I/O,IO_L13P_3,I/O,3,.
40,P40,IO_L13N_3,I/O,IO_L13N_3,I/O,3,.
41,P41,IO_L14P_3,I/O,IO_L14P_3,I/O,3,.
42,P42,IO_L14N_3,I/O,IO_L14N_3,I/O,3,.
43,P43,IP,INPUT,IP,INPUT,3,.
44,P44,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
45,P45,IO/VREF_3,VREF,IO/VREF_3,VREF,3,.
46,P46,VCCO_3,VCCO,VCCO_3,VCCO,3,.
47,P47,IO_L15P_3,I/O,IO_L15P_3,I/O,3,.
