Pin,Bank,BUFIO2,Pin Description 
G9,0,TL,IO_L1P_HSWAPEN_0 
F9,0,TL,IO_L1N_VREF_0 
G7,0,TL,IO_L2P_0 
F7,0,TL,IO_L2N_0 
G6,0,TL,IO_L3P_0 
F6,0,TL,IO_L3N_0 
G8,0,TL,IO_L4P_0 
F8,0,TL,IO_L4N_0 
E6,0,TL,IO_L5P_0 
D6,0,TL,IO_L5N_0 
E8,0,TL,IO_L6P_0 
D8,0,TL,IO_L6N_0 
J10,0,TL,IO_L7P_0 
G10,0,TL,IO_L7N_0 
C6,0,TL,IO_L8P_0 
A6,0,TL,IO_L8N_VREF_0 
B7,0,TL,IO_L9P_0 
A7,0,TL,IO_L9N_0 
D7,0,TL,IO_L10P_0 
C7,0,TL,IO_L10N_0 
J11,0,TL,IO_L11P_0 
H11,0,TL,IO_L11N_0 
E10,0,TL,IO_L12P_0 
D10,0,TL,IO_L12N_0 
C8,0,TL,IO_L13P_0 
A8,0,TL,IO_L13N_0 
D9,0,TL,IO_L14P_0 
C9,0,TL,IO_L14N_0 
K12,0,TL,IO_L15P_0 
J12,0,TL,IO_L15N_0 
G11,0,TL,IO_L16P_0 
F11,0,TL,IO_L16N_0 
B9,0,TL,IO_L17P_0 
A9,0,TL,IO_L17N_0 
C10,0,TL,IO_L18P_0 
A10,0,TL,IO_L18N_0 
D11,0,TL,IO_L19P_0 
C11,0,TL,IO_L19N_0 
G12,0,TL,IO_L20P_0 
F12,0,TL,IO_L20N_0 
E12,0,TL,IO_L21P_0 
D12,0,TL,IO_L21N_0 
B11,0,TL,IO_L22P_0 
A11,0,TL,IO_L22N_0 
C12,0,TL,IO_L23P_0 
A12,0,TL,IO_L23N_0 
D13,0,TL,IO_L24P_0 
C13,0,TL,IO_L24N_0 
J13,0,TL,IO_L25P_0 
H13,0,TL,IO_L25N_0 
G13,0,TL,IO_L26P_0 
F13,0,TL,IO_L26N_0 
K14,0,TL,IO_L27P_0 
J14,0,TL,IO_L27N_0 
G14,0,TL,IO_L28P_0 
F14,0,TL,IO_L28N_0 
E14,0,TL,IO_L29P_0 
D14,0,TL,IO_L29N_0 
B13,0,TL,IO_L30P_0 
A13,0,TL,IO_L30N_0 
C14,0,TL,IO_L31P_0 
A14,0,TL,IO_L31N_0 
J15,0,TL,IO_L32P_0 
H15,0,TL,IO_L32N_0 
G15,0,TL,IO_L33P_0 
F15,0,TL,IO_L33N_0 
D15,0,TL,IO_L34P_GCLK19_0 
C15,0,TL,IO_L34N_GCLK18_0 
B15,0,TL,IO_L35P_GCLK17_0 
A15,0,TL,IO_L35N_GCLK16_0 
C16,0,TR,IO_L36P_GCLK15_0 
A16,0,TR,IO_L36N_GCLK14_0 
C18,0,TR,IO_L37P_GCLK13_0 
A18,0,TR,IO_L37N_GCLK12_0 
B17,0,TR,IO_L38P_0 
A17,0,TR,IO_L38N_VREF_0 
E16,0,TR,IO_L39P_0 
D16,0,TR,IO_L39N_0 
G16,0,TR,IO_L40P_0 
F16,0,TR,IO_L40N_0 
D17,0,TR,IO_L41P_0 
C17,0,TR,IO_L41N_0 
G17,0,TR,IO_L42P_0 
F17,0,TR,IO_L42N_0 
J17,0,TR,IO_L43P_0 
H17,0,TR,IO_L43N_0 
B19,0,TR,IO_L44P_0 
A19,0,TR,IO_L44N_0 
E18,0,TR,IO_L45P_0 
D18,0,TR,IO_L45N_0 
G18,0,TR,IO_L46P_0 
F18,0,TR,IO_L46N_0 
C20,0,TR,IO_L47P_0 
A20,0,TR,IO_L47N_0 
D19,0,TR,IO_L48P_0 
C19,0,TR,IO_L48N_0 
G19,0,TR,IO_L49P_0 
F19,0,TR,IO_L49N_0 
B21,0,TR,IO_L50P_0 
A21,0,TR,IO_L50N_0 
J19,0,TR,IO_L51P_0 
H19,0,TR,IO_L51N_0 
E20,0,TR,IO_L52P_0 
D20,0,TR,IO_L52N_0 
