Device/Package 6slx45fgg676 Wed Mar 31 17:26:13 2010 

Pin	Bank	BUFIO2	Pin Description 

A3	0	TL	IO_L1P_HSWAPEN_0 
A2	0	TL	IO_L1N_VREF_0 
B4	0	TL	IO_L2P_0 
A4	0	TL	IO_L2N_0 
C5	0	TL	IO_L4P_0 
A5	0	TL	IO_L4N_0 
B6	0	TL	IO_L6P_0 
A6	0	TL	IO_L6N_0 
C7	0	TL	IO_L12P_0 
A7	0	TL	IO_L12N_0 
B8	0	TL	IO_L16P_0 
A8	0	TL	IO_L16N_0 
C9	0	TL	IO_L17P_0 
A9	0	TL	IO_L17N_0 
D6	0	TL	IO_L8P_0 
C6	0	TL	IO_L8N_VREF_0 
C11	0	TL	IO_L24P_0 
A11	0	TL	IO_L24N_0 
B12	0	TL	IO_L26P_0 
A12	0	TL	IO_L26N_0 
C13	0	TL	IO_L34P_GCLK19_0 
A13	0	TL	IO_L34N_GCLK18_0 
B14	0	TL	IO_L35P_GCLK17_0 
A14	0	TL	IO_L35N_GCLK16_0 
D14	0	TR	IO_L36P_GCLK15_0 
C14	0	TR	IO_L36N_GCLK14_0 
C15	0	TR	IO_L37P_GCLK13_0 
A15	0	TR	IO_L37N_GCLK12_0 
B16	0	TR	IO_L38P_0 
A16	0	TR	IO_L38N_VREF_0 
C17	0	TR	IO_L50P_0 
A17	0	TR	IO_L50N_0 
D18	0	TR	IO_L52P_0 
C18	0	TR	IO_L52N_0 
D21	0	TR	IO_L56P_0 
C20	0	TR	IO_L56N_0 
B18	0	TR	IO_L62P_0 
A18	0	TR	IO_L62N_VREF_0 
C19	0	TR	IO_L63P_SCP7_0 
A19	0	TR	IO_L63N_SCP6_0 
B20	0	TR	IO_L64P_SCP5_0 
A20	0	TR	IO_L64N_SCP4_0 
C21	0	TR	IO_L65P_SCP3_0 
A21	0	TR	IO_L65N_SCP2_0 
B22	0	TR	IO_L66P_SCP1_0 
A22	0	TR	IO_L66N_SCP0_0 
E21	NA	NA	TCK 
F20	NA	NA	TDI 
C23	NA	NA	TMS 
A24	NA	NA	TDO 
B23	1	RT	IO_L1P_A25_1 
A23	1	RT	IO_L1N_A24_VREF_1 
B24	1	RT	IO_L10P_1 
A25	1	RT	IO_L10N_1 
C25	1	RT	IO_L11P_1 
C26	1	RT	IO_L11N_1 
B25	1	RT	IO_L12P_1 
B26	1	RT	IO_L12N_1 
E25	1	RT	IO_L16P_1 
E26	1	RT	IO_L16N_1 
D24	1	RT	IO_L17P_1 
D26	1	RT	IO_L17N_1 
F24	1	RT	IO_L18P_1 
F26	1	RT	IO_L18N_1 
H24	1	RT	IO_L19P_1 
H26	1	RT	IO_L19N_1 
G25	1	RT	IO_L20P_1 
G26	1	RT	IO_L20N_1 
K24	1	RT	IO_L21P_1 
K26	1	RT	IO_L21N_1 
J25	1	RT	IO_L22P_1 
J26	1	RT	IO_L22N_1 
M24	1	RT	IO_L23P_1 
M26	1	RT	IO_L23N_1 
L25	1	RT	IO_L24P_1 
L26	1	RT	IO_L24N_1 
N25	1	RT	IO_L25P_1 
N26	1	RT	IO_L25N_1 
L19	1	RT	IO_L28P_1 
K19	1	RT	IO_L28N_VREF_1 
L23	1	RT	IO_L29P_A23_M1A13_1 
L24	1	RT	IO_L29N_A22_M1A14_1 
P20	1	RT	IO_L30P_A21_M1RESET_1 
N21	1	RT	IO_L30N_A20_M1A11_1 
M23	1	RT	IO_L31P_A19_M1CKE_1 
N24	1	RT	IO_L31N_A18_M1A12_1 
L17	1	RT	IO_L32P_A17_M1A8_1 
K18	1	RT	IO_L32N_A16_M1A9_1 
P24	1	RT	IO_L33P_A15_M1A10_1 
P26	1	RT	IO_L33N_A14_M1A4_1 
M19	1	RT	IO_L34P_A13_M1WE_1 
L18	1	RT	IO_L34N_A12_M1BA2_1 
R25	1	RT	IO_L35P_A11_M1A7_1 
R26	1	RT	IO_L35N_A10_M1A2_1 
M18	1	RT	IO_L36P_A9_M1BA0_1 
N19	1	RT	IO_L36N_A8_M1BA1_1 
N22	1	RT	IO_L37P_A7_M1A0_1 
N23	1	RT	IO_L37N_A6_M1A1_1 
N17	1	RT	IO_L38P_A5_M1CLK_1 
N18	1	RT	IO_L38N_A4_M1CLKN_1 
R23	1	RT	IO_L39P_M1A3_1 
R24	1	RT	IO_L39N_M1ODT_1 
N20	1	RT	IO_L40P_GCLK11_M1A5_1 
M21	1	RT	IO_L40N_GCLK10_M1A6_1 
P21	1	RT	IO_L41P_GCLK9_IRDY1_M1RASN_1 
P22	1	RT	IO_L41N_GCLK8_M1CASN_1 
V23	1	RB	IO_L42P_GCLK7_M1UDM_1 
W24	1	RB	IO_L42N_GCLK6_TRDY1_M1LDM_1 
U25	1	RB	IO_L43P_GCLK5_M1DQ4_1 
U26	1	RB	IO_L43N_GCLK4_M1DQ5_1 
W25	1	RB	IO_L44P_A3_M1DQ6_1 
W26	1	RB	IO_L44N_A2_M1DQ7_1 
V24	1	RB	IO_L45P_A1_M1LDQS_1 
V26	1	RB	IO_L45N_A0_M1LDQSN_1 
T24	1	RB	IO_L46P_FCS_B_M1DQ2_1 
T26	1	RB	IO_L46N_FOE_B_M1DQ3_1 
Y24	1	RB	IO_L47P_FWE_B_M1DQ0_1 
Y26	1	RB	IO_L47N_LDC_M1DQ1_1 
AD24	1	RB	IO_L48P_HDC_M1DQ8_1 
