Device/Package 6slx4csg225 Wed Mar 31 17:26:21 2010 

Pin	Bank	BUFIO2	Pin Description 

B2	0	TL	IO_L1P_HSWAPEN_0 
A2	0	TL	IO_L1N_VREF_0 
B3	0	TL	IO_L2P_0 
A3	0	TL	IO_L2N_0 
D5	0	TL	IO_L3P_0 
C5	0	TL	IO_L3N_0 
C4	0	TL	IO_L4P_0 
A4	0	TL	IO_L4N_0 
B5	0	TL	IO_L6P_0 
A5	0	TL	IO_L6N_0 
C6	0	TL	IO_L33P_0 
A6	0	TL	IO_L33N_0 
E7	0	TL	IO_L34P_GCLK19_0 
D8	0	TL	IO_L34N_GCLK18_0 
B7	0	TL	IO_L35P_GCLK17_0 
A7	0	TL	IO_L35N_GCLK16_0 
C8	0	TR	IO_L36P_GCLK15_0 
A8	0	TR	IO_L36N_GCLK14_0 
B9	0	TR	IO_L37P_GCLK13_0 
A9	0	TR	IO_L37N_GCLK12_0 
D10	0	TR	IO_L39P_0 
C9	0	TR	IO_L39N_0 
F10	0	TR	IO_L40P_0 
E9	0	TR	IO_L40N_0 
C10	0	TR	IO_L62P_0 
A10	0	TR	IO_L62N_VREF_0 
B11	0	TR	IO_L63P_SCP7_0 
A11	0	TR	IO_L63N_SCP6_0 
D11	0	TR	IO_L64P_SCP5_0 
C11	0	TR	IO_L64N_SCP4_0 
B13	0	TR	IO_L65P_SCP3_0 
A13	0	TR	IO_L65N_SCP2_0 
C12	0	TR	IO_L66P_SCP1_0 
A12	0	TR	IO_L66N_SCP0_0 
A14	NA	NA	TCK 
E10	NA	NA	TDI 
E13	NA	NA	TMS 
D12	NA	NA	TDO 
B14	1	RT	IO_L1P_1 
B15	1	RT	IO_L1N_VREF_1 
C14	1	RT	IO_L33P_1 
C15	1	RT	IO_L33N_1 
D13	1	RT	IO_L35P_1 
D15	1	RT	IO_L35N_1 
J11	1	RT	IO_L36P_1 
J13	1	RT	IO_L36N_1 
E14	1	RT	IO_L37P_1 
E15	1	RT	IO_L37N_1 
K10	1	RT	IO_L38P_1 
K11	1	RT	IO_L38N_1 
F13	1	RT	IO_L39P_1 
F15	1	RT	IO_L39N_1 
K12	1	RT	IO_L40P_GCLK11_1 
L12	1	RT	IO_L40N_GCLK10_1 
G14	1	RT	IO_L41P_GCLK9_IRDY1_1 
G15	1	RT	IO_L41N_GCLK8_1 
H13	1	RB	IO_L42P_GCLK7_1 
H15	1	RB	IO_L42N_GCLK6_TRDY1_1 
J14	1	RB	IO_L43P_GCLK5_1 
J15	1	RB	IO_L43N_GCLK4_1 
K13	1	RB	IO_L44P_1 
K15	1	RB	IO_L44N_1 
L14	1	RB	IO_L45P_1 
L15	1	RB	IO_L45N_1 
M13	1	RB	IO_L46P_1 
M15	1	RB	IO_L46N_1 
N14	1	RB	IO_L47P_1 
N15	1	RB	IO_L47N_1 
P14	1	RB	IO_L74P_AWAKE_1 
P15	1	RB	IO_L74N_DOUT_BUSY_1 
L13	NA	NA	SUSPEND 
L10	2	NA	CMPCS_B_2 
R14	2	NA	DONE_2 
N12	2	BR	IO_L1P_CCLK_2 
R12	2	BR	IO_L1N_M0_CMPMISO_2 
P13	2	BR	IO_L2P_CMPCLK_2 
R13	2	BR	IO_L2N_CMPMOSI_2 
P11	2	BR	IO_L3P_D0_DIN_MISO_MISO1_2 
R11	2	BR	IO_L3N_MOSI_CSI_B_MISO0_2 
M11	2	BR	IO_L12P_D1_MISO2_2 
N11	2	BR	IO_L12N_D2_MISO3_2 
N10	2	BR	IO_L13P_M1_2 
R10	2	BR	IO_L13N_D10_2 
L9	2	BR	IO_L14P_D11_2 
M10	2	BR	IO_L14N_D12_2 
P9	2	BR	IO_L16P_2 
R9	2	BR	IO_L16N_VREF_2 
N8	2	BR	IO_L29P_GCLK3_2 
R8	2	BR	IO_L29N_GCLK2_2 
M8	2	BR	IO_L30P_GCLK1_D13_2 
N7	2	BR	IO_L30N_GCLK0_USERCCLK_2 
K8	2	BL	IO_L31P_GCLK31_D14_2 
L8	2	BL	IO_L31N_GCLK30_D15_2 
P7	2	BL	IO_L32P_GCLK29_2 
R7	2	BL	IO_L32N_GCLK28_2 
N6	2	BL	IO_L48P_D7_2 
R6	2	BL	IO_L48N_RDWR_B_VREF_2 
P5	2	BL	IO_L49P_D3_2 
R5	2	BL	IO_L49N_D4_2 
L6	2	BL	IO_L62P_D5_2 
L5	2	BL	IO_L62N_D6_2 
N4	2	BL	IO_L63P_2 
R4	2	BL	IO_L63N_2 
M5	2	BL	IO_L64P_D8_2 
N5	2	BL	IO_L64N_D9_2 
P3	2	BL	IO_L65P_INIT_B_2 
R3	2	BL	IO_L65N_CSO_B_2 
R2	2	NA	PROGRAM_B_2 
M4	3	LB	IO_L1P_3 
L3	3	LB	IO_L1N_VREF_3 
P2	3	LB	IO_L2P_3 
P1	3	LB	IO_L2N_3 
N2	3	LB	IO_L37P_3 
N1	3	LB	IO_L37N_3 
M3	3	LB	IO_L38P_3 
M1	3	LB	IO_L38N_3 
L2	3	LB	IO_L39P_3 
L1	3	LB	IO_L39N_3 
K3	3	LB	IO_L40P_3 
K1	3	LB	IO_L40N_3 
J2	3	LB	IO_L41P_GCLK27_3 
