Pin,Bank,BUFIO2,Pin Description 
B3,0,TL,IO_L1P_HSWAPEN_0 
A4,0,TL,IO_L1N_VREF_0 
C5,0,TL,IO_L2P_0 
A5,0,TL,IO_L2N_0 
D6,0,TL,IO_L3P_0 
C6,0,TL,IO_L3N_0 
B6,0,TL,IO_L4P_0 
A6,0,TL,IO_L4N_0 
C7,0,TL,IO_L5P_0 
A7,0,TL,IO_L5N_0 
B8,0,TL,IO_L6P_0 
A8,0,TL,IO_L6N_0 
D7,0,TL,IO_L7P_0 
C8,0,TL,IO_L7N_0 
C9,0,TL,IO_L8P_0 
A9,0,TL,IO_L8N_VREF_0 
F9,0,TL,IO_L15P_0 
E8,0,TL,IO_L15N_0 
H10,0,TL,IO_L16P_0 
G9,0,TL,IO_L16N_0 
D9,0,TL,IO_L32P_0 
D8,0,TL,IO_L32N_0 
D10,0,TL,IO_L33P_0 
C10,0,TL,IO_L33N_0 
B10,0,TL,IO_L34P_GCLK19_0 
A10,0,TL,IO_L34N_GCLK18_0 
C11,0,TL,IO_L35P_GCLK17_0 
A11,0,TL,IO_L35N_GCLK16_0 
B12,0,TR,IO_L36P_GCLK15_0 
A12,0,TR,IO_L36N_GCLK14_0 
D11,0,TR,IO_L37P_GCLK13_0 
C12,0,TR,IO_L37N_GCLK12_0 
F10,0,TR,IO_L38P_0 
E10,0,TR,IO_L38N_VREF_0 
D15,0,TR,IO_L46P_0 
C14,0,TR,IO_L46N_0 
D13,0,TR,IO_L47P_0 
D12,0,TR,IO_L47N_0 
C13,0,TR,IO_L48P_0 
A13,0,TR,IO_L48N_0 
F12,0,TR,IO_L49P_0 
E12,0,TR,IO_L49N_0 
B14,0,TR,IO_L50P_0 
A14,0,TR,IO_L50N_0 
H11,0,TR,IO_L51P_0 
G11,0,TR,IO_L51N_0 
C15,0,TR,IO_L62P_0 
A15,0,TR,IO_L62N_VREF_0 
B16,0,TR,IO_L63P_SCP7_0 
A16,0,TR,IO_L63N_SCP6_0 
C17,0,TR,IO_L64P_SCP5_0 
A17,0,TR,IO_L64N_SCP4_0 
D17,0,TR,IO_L65P_SCP3_0 
C16,0,TR,IO_L65N_SCP2_0 
B18,0,TR,IO_L66P_SCP1_0 
A18,0,TR,IO_L66N_SCP0_0 
D14,NA,NA,TCK 
E18,NA,NA,TDI 
E16,NA,NA,TMS 
E14,NA,NA,TDO 
F15,1,RT,IO_L1P_A25_1 
F16,1,RT,IO_L1N_A24_VREF_1 
F13,1,RT,IO_L9P_1 
F14,1,RT,IO_L9N_1 
G15,1,RT,IO_L10P_1 
G16,1,RT,IO_L10N_1 
D19,1,RT,IO_L11P_1 
D20,1,RT,IO_L11N_1 
C18,1,RT,IO_L12P_1 
C19,1,RT,IO_L12N_1 
G17,1,RT,IO_L13P_1 
G19,1,RT,IO_L13N_1 
B20,1,RT,IO_L14P_1 
A21,1,RT,IO_L14N_1 
F17,1,RT,IO_L15P_1 
F18,1,RT,IO_L15N_1 
A19,1,RT,IO_L16P_1 
A20,1,RT,IO_L16N_1 
H17,1,RT,IO_L17P_1 
H18,1,RT,IO_L17N_1 
F19,1,RT,IO_L18P_1 
F20,1,RT,IO_L18N_1 
H12,1,RT,IO_L19P_1 
G13,1,RT,IO_L19N_1 
J16,1,RT,IO_L20P_1 
H16,1,RT,IO_L20N_1 
H13,1,RT,IO_L21P_1 
H14,1,RT,IO_L21N_1 
L15,1,RT,IO_L28P_1 
K16,1,RT,IO_L28N_VREF_1 
F21,1,RT,IO_L29P_A23_M1A13_1 
F22,1,RT,IO_L29N_A22_M1A14_1 
H19,1,RT,IO_L30P_A21_M1RESET_1 
H20,1,RT,IO_L30N_A20_M1A11_1 
E20,1,RT,IO_L31P_A19_M1CKE_1 
E22,1,RT,IO_L31N_A18_M1A12_1 
G20,1,RT,IO_L32P_A17_M1A8_1 
G22,1,RT,IO_L32N_A16_M1A9_1 
D21,1,RT,IO_L33P_A15_M1A10_1 
D22,1,RT,IO_L33N_A14_M1A4_1 
H21,1,RT,IO_L34P_A13_M1WE_1 
H22,1,RT,IO_L34N_A12_M1BA2_1 
C20,1,RT,IO_L35P_A11_M1A7_1 
C22,1,RT,IO_L35N_A10_M1A2_1 
K18,1,RT,IO_L36P_A9_M1BA0_1 
K19,1,RT,IO_L36N_A8_M1BA1_1 
B21,1,RT,IO_L37P_A7_M1A0_1 
B22,1,RT,IO_L37N_A6_M1A1_1 
J17,1,RT,IO_L38P_A5_M1CLK_1 
J19,1,RT,IO_L38N_A4_M1CLKN_1 
J21,1,RT,IO_L39P_M1A3_1 
J22,1,RT,IO_L39N_M1ODT_1 
L17,1,RT,IO_L40P_GCLK11_M1A5_1 
K17,1,RT,IO_L40N_GCLK10_M1A6_1 
M18,1,RT,IO_L41P_GCLK9_IRDY1_M1RASN_1 
M19,1,RT,IO_L41N_GCLK8_M1CASN_1 
L19,1,RB,IO_L42P_GCLK7_M1UDM_1 
K20,1,RB,IO_L42N_GCLK6_TRDY1_M1LDM_1 
L20,1,RB,IO_L43P_GCLK5_M1DQ4_1 
L22,1,RB,IO_L43N_GCLK4_M1DQ5_1 
K21,1,RB,IO_L44P_A3_M1DQ6_1 
K22,1,RB,IO_L44N_A2_M1DQ7_1 
M21,1,RB,IO_L45P_A1_M1LDQS_1 
M22,1,RB,IO_L45N_A0_M1LDQSN_1 
N19,1,RB,IO_L46P_FCS_B_M1DQ2_1 
M20,1,RB,IO_L46N_FOE_B_M1DQ3_1 
N20,1,RB,IO_L47P_FWE_B_M1DQ0_1 
N22,1,RB,IO_L47N_LDC_M1DQ1_1 
P21,1,RB,IO_L48P_HDC_M1DQ8_1 
P22,1,RB,IO_L48N_M1DQ9_1 
R20,1,RB,IO_L49P_M1DQ10_1 
R22,1,RB,IO_L49N_M1DQ11_1 
T21,1,RB,IO_L50P_M1UDQS_1 
T22,1,RB,IO_L50N_M1UDQSN_1 
U20,1,RB,IO_L51P_M1DQ12_1 
U22,1,RB,IO_L51N_M1DQ13_1 
V21,1,RB,IO_L52P_M1DQ14_1 
V22,1,RB,IO_L52N_M1DQ15_1 
W20,1,RB,IO_L53P_1 
W22,1,RB,IO_L53N_VREF_1 
M16,1,RB,IO_L58P_1 
M17,1,RB,IO_L58N_1 
Y21,1,RB,IO_L59P_1 
Y22,1,RB,IO_L59N_1 
N15,1,RB,IO_L60P_1 
N16,1,RB,IO_L60N_1 
AA20,1,RB,IO_L61P_1 
AB21,1,RB,IO_L61N_1 
P15,1,RB,IO_L62P_1 
P16,1,RB,IO_L62N_1 
AA21,1,RB,IO_L63P_1 
AA22,1,RB,IO_L63N_1 
P19,1,RB,IO_L64P_1 
P20,1,RB,IO_L64N_1 
AB19,1,RB,IO_L65P_1 
AB20,1,RB,IO_L65N_1 
P17,1,RB,IO_L66P_1 
P18,1,RB,IO_L66N_1 
Y19,1,RB,IO_L67P_1 
Y20,1,RB,IO_L67N_1 
R15,1,RB,IO_L68P_1 
R16,1,RB,IO_L68N_1 
R17,1,RB,IO_L70P_1 
R19,1,RB,IO_L70N_1 
V19,1,RB,IO_L71P_1 
V20,1,RB,IO_L71N_1 
T17,1,RB,IO_L72P_1 
T18,1,RB,IO_L72N_1 
V17,1,RB,IO_L73P_1 
V18,1,RB,IO_L73N_1 
T19,1,RB,IO_L74P_AWAKE_1 
T20,1,RB,IO_L74N_DOUT_BUSY_1 
U19,NA,NA,VFS 
T16,NA,NA,RFUSE 
U17,NA,NA,VBATT 
W18,NA,NA,SUSPEND 
T15,2,NA,CMPCS_B_2 
U16,2,NA,DONE_2 
W17,2,BR,IO_L1P_CCLK_2 
Y18,2,BR,IO_L1N_M0_CMPMISO_2 
