Pin,Bank,BUFIO2,Pin Description 
P144,0,TL,IO_L1P_HSWAPEN_0 
P143,0,TL,IO_L1N_VREF_0 
P142,0,TL,IO_L2P_0 
P141,0,TL,IO_L2N_0 
P140,0,TL,IO_L3P_0 
P139,0,TL,IO_L3N_0 
P138,0,TL,IO_L4P_0 
P137,0,TL,IO_L4N_0 
P134,0,TL,IO_L34P_GCLK19_0 
P133,0,TL,IO_L34N_GCLK18_0 
P132,0,TL,IO_L35P_GCLK17_0 
P131,0,TL,IO_L35N_GCLK16_0 
P127,0,TR,IO_L36P_GCLK15_0 
P126,0,TR,IO_L36N_GCLK14_0 
P124,0,TR,IO_L37P_GCLK13_0 
P123,0,TR,IO_L37N_GCLK12_0 
P121,0,TR,IO_L62P_0 
P120,0,TR,IO_L62N_VREF_0 
P119,0,TR,IO_L63P_SCP7_0 
P118,0,TR,IO_L63N_SCP6_0 
P117,0,TR,IO_L64P_SCP5_0 
P116,0,TR,IO_L64N_SCP4_0 
P115,0,TR,IO_L65P_SCP3_0 
P114,0,TR,IO_L65N_SCP2_0 
P112,0,TR,IO_L66P_SCP1_0 
P111,0,TR,IO_L66N_SCP0_0 
P109,NA,NA,TCK 
P110,NA,NA,TDI 
P107,NA,NA,TMS 
P106,NA,NA,TDO 
P105,1,RT,IO_L1P_1 
P104,1,RT,IO_L1N_VREF_1 
P102,1,RT,IO_L32P_1 
P101,1,RT,IO_L32N_1 
P100,1,RT,IO_L33P_1 
P99,1,RT,IO_L33N_1 
P98,1,RT,IO_L34P_1 
P97,1,RT,IO_L34N_1 
P95,1,RT,IO_L40P_GCLK11_1 
P94,1,RT,IO_L40N_GCLK10_1 
P93,1,RT,IO_L41P_GCLK9_IRDY1_1 
P92,1,RT,IO_L41N_GCLK8_1 
P88,1,RB,IO_L42P_GCLK7_1 
P87,1,RB,IO_L42N_GCLK6_TRDY1_1 
P85,1,RB,IO_L43P_GCLK5_1 
P84,1,RB,IO_L43N_GCLK4_1 
