Device/Package xc7z010clg225 9/13/2012 10:56:06                                                                                              
                                                                                                   
Pin  Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
M7   DONE_0                   NA                 0     NA            NA                  CONFIG    NA
J7   DXP_0                    NA                 0     NA            NA                  CONFIG    NA
F8   GNDADC_0                 NA                 0     NA            NA                  CONFIG    NA
F7   VCCADC_0                 NA                 0     NA            NA                  CONFIG    NA
H7   VREFP_0                  NA                 0     NA            NA                  CONFIG    NA
H8   VN_0                     NA                 0     NA            NA                  CONFIG    NA
E6   VCCBATT_0                NA                 0     NA            NA                  CONFIG    NA
G9   TCK_0                    NA                 0     NA            NA                  CONFIG    NA
G8   VREFN_0                  NA                 0     NA            NA                  CONFIG    NA
G7   VP_0                     NA                 0     NA            NA                  CONFIG    NA
E8   RSVDGND                  NA                 0     NA            NA                  CONFIG    NA
H4   RSVDVCC3                 NA                 0     NA            NA                  CONFIG    NA
J4   RSVDVCC2                 NA                 0     NA            NA                  CONFIG    NA
D5   INIT_B_0                 NA                 0     NA            NA                  CONFIG    NA
L7   TDI_0                    NA                 0     NA            NA                  CONFIG    NA
L8   TDO_0                    NA                 0     NA            NA                  CONFIG    NA
G4   RSVDVCC1                 NA                 0     NA            NA                  CONFIG    NA
F6   CFGBVS_0                 NA                 0     NA            NA                  CONFIG    NA
K6   PROGRAM_B_0              NA                 0     NA            NA                  CONFIG    NA
L9   TMS_0                    NA                 0     NA            NA                  CONFIG    NA
G11  IO_L1P_T0_34             0                  34    NA            NA                  HR        NA
H12  IO_L1N_T0_34             0                  34    NA            NA                  HR        NA
G12  IO_L2P_T0_34             0                  34    NA            NA                  HR        NA
H13  IO_L2N_T0_34             0                  34    NA            NA                  HR        NA
G14  IO_L3P_T0_DQS_PUDC_B_34  0                  34    NA            NA                  HR        NA
H14  IO_L3N_T0_DQS_34         0                  34    NA            NA                  HR        NA
J15  IO_L4P_T0_34             0                  34    NA            NA                  HR        NA
K15  IO_L4N_T0_34             0                  34    NA            NA                  HR        NA
J13  IO_L5P_T0_34             0                  34    NA            NA                  HR        NA
J14  IO_L5N_T0_34             0                  34    NA            NA                  HR        NA
H11  IO_L6P_T0_34             0                  34    NA            NA                  HR        NA
J11  IO_L6N_T0_VREF_34        0                  34    NA            NA                  HR        NA
N13  IO_L7P_T1_34             1                  34    NA            NA                  HR        NA
N14  IO_L7N_T1_34             1                  34    NA            NA                  HR        NA
L15  IO_L8P_T1_34             1                  34    NA            NA                  HR        NA
M15  IO_L8N_T1_34             1                  34    NA            NA                  HR        NA
L14  IO_L9P_T1_DQS_34         1                  34    NA            NA                  HR        NA
M14  IO_L9N_T1_DQS_34         1                  34    NA            NA                  HR        NA
K13  IO_L10P_T1_34            1                  34    NA            NA                  HR        NA
L13  IO_L10N_T1_34            1                  34    NA            NA                  HR        NA
K11  IO_L11P_T1_SRCC_34       1                  34    NA            NA                  HR        NA
K12  IO_L11N_T1_SRCC_34       1                  34    NA            NA                  HR        NA
L12  IO_L12P_T1_MRCC_34       1                  34    NA            NA                  HR        NA
M12  IO_L12N_T1_MRCC_34       1                  34    NA            NA                  HR        NA
N11  IO_L13P_T2_MRCC_34       2                  34    NA            NA                  HR        NA
N12  IO_L13N_T2_MRCC_34       2                  34    NA            NA                  HR        NA
P15  IO_L15P_T2_DQS_34        2                  34    NA            NA                  HR        NA
R15  IO_L15N_T2_DQS_34        2                  34    NA            NA                  HR        NA
P11  IO_L16P_T2_34            2                  34    NA            NA                  HR        NA
R11  IO_L16N_T2_34            2                  34    NA            NA                  HR        NA
R12  IO_L17P_T2_34            2                  34    NA            NA                  HR        NA
R13  IO_L17N_T2_34            2                  34    NA            NA                  HR        NA
P13  IO_L18P_T2_34            2                  34    NA            NA                  HR        NA
P14  IO_L18N_T2_34            2                  34    NA            NA                  HR        NA
M9   IO_L19P_T3_34            3                  34    NA            NA                  HR        NA
N9   IO_L19N_T3_VREF_34       3                  34    NA            NA                  HR        NA
R7   IO_L20P_T3_34            3                  34    NA            NA                  HR        NA
R8   IO_L20N_T3_34            3                  34    NA            NA                  HR        NA
M10  IO_L21P_T3_DQS_34        3                  34    NA            NA                  HR        NA
M11  IO_L21N_T3_DQS_34        3                  34    NA            NA                  HR        NA
N7   IO_L22P_T3_34            3                  34    NA            NA                  HR        NA
N8   IO_L22N_T3_34            3                  34    NA            NA                  HR        NA
P8   IO_L23P_T3_34            3                  34    NA            NA                  HR        NA
P9   IO_L23N_T3_34            3                  34    NA            NA                  HR        NA
P10  IO_L24P_T3_34            3                  34    NA            NA                  HR        NA
R10  IO_L24N_T3_34            3                  34    NA            NA                  HR        NA
F12  IO_L1P_T0_AD0P_35        0                  35    NA            NA                  HR        NA
E13  IO_L1N_T0_AD0N_35        0                  35    NA            NA                  HR        NA
E11  IO_L2P_T0_AD8P_35        0                  35    NA            NA                  HR        NA
