Device/Package xc7z045fbg676 9/18/2012 10:02:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
R13   DXN_0                    NA                 0     NA            NA                  CONFIG    NA
M14   VCCADC_0                 NA                 0     NA            NA                  CONFIG    NA
M13   GNDADC_0                 NA                 0     NA            NA                  CONFIG    NA
R14   DXP_0                    NA                 0     NA            NA                  CONFIG    NA
N13   VREFN_0                  NA                 0     NA            NA                  CONFIG    NA
P14   VREFP_0                  NA                 0     NA            NA                  CONFIG    NA
N14   VP_0                     NA                 0     NA            NA                  CONFIG    NA
P13   VN_0                     NA                 0     NA            NA                  CONFIG    NA
V15   VCCBATT_0                NA                 0     NA            NA                  CONFIG    NA
V13   RSVDGND                  NA                 0     NA            NA                  CONFIG    NA
W12   TCK_0                    NA                 0     NA            NA                  CONFIG    NA
W11   TMS_0                    NA                 0     NA            NA                  CONFIG    NA
W10   TDO_0                    NA                 0     NA            NA                  CONFIG    NA
V11   TDI_0                    NA                 0     NA            NA                  CONFIG    NA
R8    INIT_B_0                 NA                 0     NA            NA                  CONFIG    NA
V9    PROGRAM_B_0              NA                 0     NA            NA                  CONFIG    NA
T7    CFGBVS_0                 NA                 0     NA            NA                  CONFIG    NA
W9    DONE_0                   NA                 0     NA            NA                  CONFIG    NA
W8    RSVDVCC1                 NA                 0     NA            NA                  CONFIG    NA
U8    RSVDVCC3                 NA                 0     NA            NA                  CONFIG    NA
V8    RSVDVCC2                 NA                 0     NA            NA                  CONFIG    NA
W14   IO_0_12                  NA                 12    NA            NA                  HR        NA
Y12   IO_L1P_T0_12             0                  12    NA            NA                  HR        NA
Y11   IO_L1N_T0_12             0                  12    NA            NA                  HR        NA
AB12  IO_L2P_T0_12             0                  12    NA            NA                  HR        NA
AC11  IO_L2N_T0_12             0                  12    NA            NA                  HR        NA
Y10   IO_L3P_T0_DQS_12         0                  12    NA            NA                  HR        NA
AA10  IO_L3N_T0_DQS_12         0                  12    NA            NA                  HR        NA
AB11  IO_L4P_T0_12             0                  12    NA            NA                  HR        NA
AB10  IO_L4N_T0_12             0                  12    NA            NA                  HR        NA
W13   IO_L5P_T0_12             0                  12    NA            NA                  HR        NA
Y13   IO_L5N_T0_12             0                  12    NA            NA                  HR        NA
AA13  IO_L6P_T0_12             0                  12    NA            NA                  HR        NA
AA12  IO_L6N_T0_VREF_12        0                  12    NA            NA                  HR        NA
AE10  IO_L7P_T1_12             1                  12    NA            NA                  HR        NA
AD10  IO_L7N_T1_12             1                  12    NA            NA                  HR        NA
AE12  IO_L8P_T1_12             1                  12    NA            NA                  HR        NA
AF12  IO_L8N_T1_12             1                  12    NA            NA                  HR        NA
AE11  IO_L9P_T1_DQS_12         1                  12    NA            NA                  HR        NA
AF10  IO_L9N_T1_DQS_12         1                  12    NA            NA                  HR        NA
AE13  IO_L10P_T1_12            1                  12    NA            NA                  HR        NA
AF13  IO_L10N_T1_12            1                  12    NA            NA                  HR        NA
AC12  IO_L11P_T1_SRCC_12       1                  12    NA            NA                  HR        NA
AD11  IO_L11N_T1_SRCC_12       1                  12    NA            NA                  HR        NA
AC13  IO_L12P_T1_MRCC_12       1                  12    NA            NA                  HR        NA
AD13  IO_L12N_T1_MRCC_12       1                  12    NA            NA                  HR        NA
AC14  IO_L13P_T2_MRCC_12       2                  12    NA            NA                  HR        NA
AD14  IO_L13N_T2_MRCC_12       2                  12    NA            NA                  HR        NA
AB15  IO_L14P_T2_SRCC_12       2                  12    NA            NA                  HR        NA
AB14  IO_L14N_T2_SRCC_12       2                  12    NA            NA                  HR        NA
AD16  IO_L15P_T2_DQS_12        2                  12    NA            NA                  HR        NA
AD15  IO_L15N_T2_DQS_12        2                  12    NA            NA                  HR        NA
AF15  IO_L16P_T2_12            2                  12    NA            NA                  HR        NA
AF14  IO_L16N_T2_12            2                  12    NA            NA                  HR        NA
AE16  IO_L17P_T2_12            2                  12    NA            NA                  HR        NA
AE15  IO_L17N_T2_12            2                  12    NA            NA                  HR        NA
AE17  IO_L18P_T2_12            2                  12    NA            NA                  HR        NA
AF17  IO_L18N_T2_12            2                  12    NA            NA                  HR        NA
Y17   IO_L19P_T3_12            3                  12    NA            NA                  HR        NA
AA17  IO_L19N_T3_VREF_12       3                  12    NA            NA                  HR        NA
AB17  IO_L20P_T3_12            3                  12    NA            NA                  HR        NA
AB16  IO_L20N_T3_12            3                  12    NA            NA                  HR        NA
AC17  IO_L21P_T3_DQS_12        3                  12    NA            NA                  HR        NA
AC16  IO_L21N_T3_DQS_12        3                  12    NA            NA                  HR        NA
AA15  IO_L22P_T3_12            3                  12    NA            NA                  HR        NA
AA14  IO_L22N_T3_12            3                  12    NA            NA                  HR        NA
Y16   IO_L23P_T3_12            3                  12    NA            NA                  HR        NA
Y15   IO_L23N_T3_12            3                  12    NA            NA                  HR        NA
W16   IO_L24P_T3_12            3                  12    NA            NA                  HR        NA
W15   IO_L24N_T3_12            3                  12    NA            NA                  HR        NA
W17   IO_25_12                 NA                 12    NA            NA                  HR        NA
V19   IO_0_13                  NA                 13    NA            NA                  HR        NA
AA25  IO_L1P_T0_13             0                  13    NA            NA                  HR        NA
AB25  IO_L1N_T0_13             0                  13    NA            NA                  HR        NA
AB26  IO_L2P_T0_13             0                  13    NA            NA                  HR        NA
AC26  IO_L2N_T0_13             0                  13    NA            NA                  HR        NA
AE25  IO_L3P_T0_DQS_13         0                  13    NA            NA                  HR        NA
AE26  IO_L3N_T0_DQS_13         0                  13    NA            NA                  HR        NA
AD25  IO_L4P_T0_13             0                  13    NA            NA                  HR        NA
AD26  IO_L4N_T0_13             0                  13    NA            NA                  HR        NA
AF24  IO_L5P_T0_13             0                  13    NA            NA                  HR        NA
AF25  IO_L5N_T0_13             0                  13    NA            NA                  HR        NA
AA24  IO_L6P_T0_13             0                  13    NA            NA                  HR        NA
AB24  IO_L6N_T0_VREF_13        0                  13    NA            NA                  HR        NA
AE22  IO_L7P_T1_13             1                  13    NA            NA                  HR        NA
AF22  IO_L7N_T1_13             1                  13    NA            NA                  HR        NA
AE23  IO_L8P_T1_13             1                  13    NA            NA                  HR        NA
AF23  IO_L8N_T1_13             1                  13    NA            NA                  HR        NA
AB21  IO_L9P_T1_DQS_13         1                  13    NA            NA                  HR        NA
AB22  IO_L9N_T1_DQS_13         1                  13    NA            NA                  HR        NA
AA22  IO_L10P_T1_13            1                  13    NA            NA                  HR        NA
AA23  IO_L10N_T1_13            1                  13    NA            NA                  HR        NA
AD23  IO_L11P_T1_SRCC_13       1                  13    NA            NA                  HR        NA
AD24  IO_L11N_T1_SRCC_13       1                  13    NA            NA                  HR        NA
AC23  IO_L12P_T1_MRCC_13       1                  13    NA            NA                  HR        NA
AC24  IO_L12N_T1_MRCC_13       1                  13    NA            NA                  HR        NA
