Device/Package xc7z100ffg1156 2/28/2013 17:10:11,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
Y17,DXN_0,NA,0,NA,NA,CONFIG,NA
U18,VCCADC_0,NA,0,NA,NA,CONFIG,NA
U17,GNDADC_0,NA,0,NA,NA,CONFIG,NA
Y18,DXP_0,NA,0,NA,NA,CONFIG,NA
V17,VREFN_0,NA,0,NA,NA,CONFIG,NA
W18,VREFP_0,NA,0,NA,NA,CONFIG,NA
V18,VP_0,NA,0,NA,NA,CONFIG,NA
W17,VN_0,NA,0,NA,NA,CONFIG,NA
AJ10,VCCBATT_0,NA,0,NA,NA,CONFIG,NA
AG11,RSVDGND,NA,0,NA,NA,CONFIG,NA
N9,TCK_0,NA,0,NA,NA,CONFIG,NA
N7,TMS_0,NA,0,NA,NA,CONFIG,NA
N8,TDO_0,NA,0,NA,NA,CONFIG,NA
N6,TDI_0,NA,0,NA,NA,CONFIG,NA
AH11,INIT_B_0,NA,0,NA,NA,CONFIG,NA
AN11,PROGRAM_B_0,NA,0,NA,NA,CONFIG,NA
AM11,CFGBVS_0,NA,0,NA,NA,CONFIG,NA
AP11,DONE_0,NA,0,NA,NA,CONFIG,NA
AM10,RSVDVCC1,NA,0,NA,NA,CONFIG,NA
AK10,RSVDVCC3,NA,0,NA,NA,CONFIG,NA
AL10,RSVDVCC2,NA,0,NA,NA,CONFIG,NA
AJ19,IO_0_9,NA,9,NA,NA,HR,NA
AN18,IO_L1P_T0_9,0,9,NA,NA,HR,NA
AN17,IO_L1N_T0_9,0,9,NA,NA,HR,NA
AP20,IO_L2P_T0_9,0,9,NA,NA,HR,NA
AP19,IO_L2N_T0_9,0,9,NA,NA,HR,NA
AN16,IO_L3P_T0_DQS_9,0,9,NA,NA,HR,NA
AP16,IO_L3N_T0_DQS_9,0,9,NA,NA,HR,NA
AN19,IO_L4P_T0_9,0,9,NA,NA,HR,NA
AP18,IO_L4N_T0_9,0,9,NA,NA,HR,NA
AM17,IO_L5P_T0_9,0,9,NA,NA,HR,NA
AM16,IO_L5N_T0_9,0,9,NA,NA,HR,NA
AM20,IO_L6P_T0_9,0,9,NA,NA,HR,NA
AM19,IO_L6N_T0_VREF_9,0,9,NA,NA,HR,NA
AL14,IO_L7P_T1_9,1,9,NA,NA,HR,NA
AL13,IO_L7N_T1_9,1,9,NA,NA,HR,NA
AP15,IO_L8P_T1_9,1,9,NA,NA,HR,NA
AP14,IO_L8N_T1_9,1,9,NA,NA,HR,NA
AM12,IO_L9P_T1_DQS_9,1,9,NA,NA,HR,NA
AN12,IO_L9N_T1_DQS_9,1,9,NA,NA,HR,NA
AN13,IO_L10P_T1_9,1,9,NA,NA,HR,NA
AP13,IO_L10N_T1_9,1,9,NA,NA,HR,NA
AM14,IO_L11P_T1_SRCC_9,1,9,NA,NA,HR,NA
AN14,IO_L11N_T1_SRCC_9,1,9,NA,NA,HR,NA
AL15,IO_L12P_T1_MRCC_9,1,9,NA,NA,HR,NA
AM15,IO_L12N_T1_MRCC_9,1,9,NA,NA,HR,NA
AL18,IO_L13P_T2_MRCC_9,2,9,NA,NA,HR,NA
AL17,IO_L13N_T2_MRCC_9,2,9,NA,NA,HR,NA
AK17,IO_L14P_T2_SRCC_9,2,9,NA,NA,HR,NA
AK16,IO_L14N_T2_SRCC_9,2,9,NA,NA,HR,NA
AL20,IO_L15P_T2_DQS_9,2,9,NA,NA,HR,NA
AL19,IO_L15N_T2_DQS_9,2,9,NA,NA,HR,NA
AH18,IO_L16P_T2_9,2,9,NA,NA,HR,NA
AH17,IO_L16N_T2_9,2,9,NA,NA,HR,NA
AJ18,IO_L17P_T2_9,2,9,NA,NA,HR,NA
AK18,IO_L17N_T2_9,2,9,NA,NA,HR,NA
AH16,IO_L18P_T2_9,2,9,NA,NA,HR,NA
AJ16,IO_L18N_T2_9,2,9,NA,NA,HR,NA
AJ15,IO_L19P_T3_9,3,9,NA,NA,HR,NA
AK15,IO_L19N_T3_VREF_9,3,9,NA,NA,HR,NA
AJ13,IO_L20P_T3_9,3,9,NA,NA,HR,NA
AK13,IO_L20N_T3_9,3,9,NA,NA,HR,NA
AH14,IO_L21P_T3_DQS_9,3,9,NA,NA,HR,NA
AJ14,IO_L21N_T3_DQS_9,3,9,NA,NA,HR,NA
AJ11,IO_L22P_T3_9,3,9,NA,NA,HR,NA
AK11,IO_L22N_T3_9,3,9,NA,NA,HR,NA
AH13,IO_L23P_T3_9,3,9,NA,NA,HR,NA
AH12,IO_L23N_T3_9,3,9,NA,NA,HR,NA
AK12,IO_L24P_T3_9,3,9,NA,NA,HR,NA
AL12,IO_L24N_T3_9,3,9,NA,NA,HR,NA
AH19,IO_25_9,NA,9,NA,NA,HR,NA
AF24,IO_0_10,NA,10,NA,NA,HR,NA
