Device/Package xc7z045ffg900 9/18/2012 09:53:04                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
U14   DXN_0                    NA                 0     NA            NA                  CONFIG    NA
P15   VCCADC_0                 NA                 0     NA            NA                  CONFIG    NA
P14   GNDADC_0                 NA                 0     NA            NA                  CONFIG    NA
U15   DXP_0                    NA                 0     NA            NA                  CONFIG    NA
R14   VREFN_0                  NA                 0     NA            NA                  CONFIG    NA
T15   VREFP_0                  NA                 0     NA            NA                  CONFIG    NA
R15   VP_0                     NA                 0     NA            NA                  CONFIG    NA
T14   VN_0                     NA                 0     NA            NA                  CONFIG    NA
P9    VCCBATT_0                NA                 0     NA            NA                  CONFIG    NA
AA12  RSVDGND                  NA                 0     NA            NA                  CONFIG    NA
Y12   TCK_0                    NA                 0     NA            NA                  CONFIG    NA
V10   TMS_0                    NA                 0     NA            NA                  CONFIG    NA
Y10   TDO_0                    NA                 0     NA            NA                  CONFIG    NA
P10   TDI_0                    NA                 0     NA            NA                  CONFIG    NA
W9    INIT_B_0                 NA                 0     NA            NA                  CONFIG    NA
Y9    PROGRAM_B_0              NA                 0     NA            NA                  CONFIG    NA
V9    CFGBVS_0                 NA                 0     NA            NA                  CONFIG    NA
AA9   DONE_0                   NA                 0     NA            NA                  CONFIG    NA
U9    RSVDVCC1                 NA                 0     NA            NA                  CONFIG    NA
R9    RSVDVCC3                 NA                 0     NA            NA                  CONFIG    NA
T9    RSVDVCC2                 NA                 0     NA            NA                  CONFIG    NA
Y20   IO_L6P_T0_9              0                  9     NA            NA                  HR        NA
AA20  IO_L6N_T0_VREF_9         0                  9     NA            NA                  HR        NA
AC18  IO_L11P_T1_SRCC_9        1                  9     NA            NA                  HR        NA
AC19  IO_L11N_T1_SRCC_9        1                  9     NA            NA                  HR        NA
AD18  IO_L12P_T1_MRCC_9        1                  9     NA            NA                  HR        NA
AD19  IO_L12N_T1_MRCC_9        1                  9     NA            NA                  HR        NA
AA18  IO_L13P_T2_MRCC_9        2                  9     NA            NA                  HR        NA
